,len,metric,overall,overall_p,ts,cpp,java,py,rs,ts_p,cpp_p,java_p,py_p,rs_p
178,32,halstead,0.21370805090374578,5.052007196307924e-27,0.306664807585053,0.13449762431391823,0.18281072759682385,0.25507246376811593,0.22612958226768967,2.8598693757583956e-07,0.0007754462901508822,6.128346967981419e-07,1.7091964572320682e-07,1.2284742867419292e-05
179,32,entropy,0.3339900186149467,1.6429662668669046e-63,0.16742889012827664,0.3727062341279594,0.3385188786258305,0.17144111926720623,0.3763244428206065,0.005079675644948764,1.2191378133196928e-20,2.583516827553882e-20,0.00044123577168989834,3.4170868202503533e-13
180,33,mccabe,0.23524606219679306,1.0227012049127168e-29,0.3196745513598635,-0.045625,0.2277304370763708,0.35640272193009587,0.2956847309556953,1.9441591871192752e-07,0.25925209331367893,9.863724903761628e-09,2.5186512683230404e-12,6.26179515265126e-09
181,33,fanout,0.12535860228769327,1.9971444949561618e-09,0.08907188084380434,0.1034046052631579,-0.06787242095122314,0.3414321064027219,0.20561928990863854,0.15005200282487946,0.010963900841197567,0.08975686423324802,2.5845053641575885e-11,6.840720797463319e-05
182,33,chars,0.17165526289180777,2.2404913513229505e-16,0.05144188182802401,0.1387828947368421,0.0714162834172468,0.34283946798639037,0.2766124257988128,0.406662505958426,0.0006437826394290056,0.07438180584684165,2.2923924352423955e-11,8.751509703715258e-08
183,33,identifiers,0.2138591719476023,1.4927149522000471e-24,0.19084019553164266,0.11402412280701754,0.10164806807885954,0.3660995978966904,0.26230819693115087,0.0020680709992122372,0.005049694306321522,0.011087526525312613,9.257420199075207e-13,3.869344024274407e-07
184,33,halstead,0.23085716364787107,2.465149956952212e-28,0.19002001246678257,0.13969298245614034,0.16603397061690733,0.4102845654191154,0.2628362053792861,0.0021656002883891196,0.0005929046466201915,3.348600955211699e-05,1.2291083070380293e-15,3.688427197864176e-07
185,33,entropy,0.35324245004952,5.16477569033696e-64,0.15750795577572915,0.37914473684210526,0.3654880552337917,0.39333436436746055,0.3291412662602602,0.011029714973996118,1.1328313221854613e-20,6.731090560869794e-20,1.7078891706874856e-14,1.9267361334008298e-10
186,34,mccabe,0.1880055583672962,4.440267409238203e-19,0.3297175866495507,0.023239882562892177,0.13479718939635899,0.18289573820395738,0.25188536953242835,7.835248405563661e-08,0.5720592277722745,0.0005566405021741157,0.0006615189270908917,2.193808254643056e-06
187,34,fanout,0.09871074292107296,3.1348540546656627e-06,0.11376765083440309,0.1171204881699384,-0.01970084105184712,0.27281202435312024,0.1385913664394677,0.06565606497040528,0.004580384777346034,0.6159841640594468,4.224478077169324e-07,0.010284547990986813
188,34,chars,0.14040870870070946,3.4155061875613854e-11,0.1946405648267009,0.13460940648206782,0.09494304269136591,0.19765981735159818,0.11188116921549535,0.001662474901563711,0.0011254349259063256,0.015677435455588137,0.00025295361467140973,0.03847919080647147
189,34,identifiers,0.18408273620841215,3.63630269390191e-18,0.18741976893453144,0.1415980657417535,0.13041626743319493,0.22695966514459665,0.1391832292800275,0.002457951576904474,0.0006114597090644915,0.0009013796362387929,2.642313616209253e-05,0.010013831169939391
190,34,halstead,0.22177485948696093,1.2114854117982167e-25,0.19746469833119384,0.18047320246387658,0.1817044607686575,0.2499048706240487,0.21085591003684823,0.001421036230120785,1.2599709711012306e-05,3.752988566201063e-06,3.717750151276823e-06,9.581136543544548e-05
191,34,entropy,0.3810589311241931,2.4892733522889483e-72,0.32605905006418484,0.4141269932646365,0.36121579899925477,0.4407914764079148,0.25001431926227163,1.3768076889936792e-07,1.233923489652965e-23,3.8013559687971725e-20,3.3291944431835347e-16,3.7373671043877138e-06
192,35,mccabe,0.2133217459709997,3.265876771578277e-22,0.26385281385281384,0.02171809413951104,0.17897987347479744,0.30198445171849425,0.28009164738441994,6.685869644680736e-05,0.6018270176834806,1.824181070061047e-05,3.191402037451583e-08,4.934291909194066e-07
193,35,fanout,0.11191637964026024,4.2507103457864174e-07,0.11450216450216451,0.13552500881156077,0.00014346810225859783,0.37540916530278234,-0.00932353341499932,0.08555590130597546,0.0011885025912530141,0.9974052758752514,8.36113164483644e-12,0.8694040323471859
194,35,chars,0.16948909299655568,1.936403773254578e-14,0.2206060606060606,0.1358133871639591,0.038237665159112956,0.3209901800327332,0.1331836123587859,0.0009380963765249614,0.0011667669041343259,0.36311523095198217,5.437169129317858e-09,0.018686084322443237
195,35,identifiers,0.14974911765956542,1.344457594706556e-11,0.21606060606060606,0.09655548079079752,0.08922349597606133,0.23565875613747955,0.08150719114377751,0.00119223829516626,0.020974778128305106,0.03379331398335734,1.843686612207681e-05,0.15004225825030595
196,35,halstead,0.17350693115618487,4.6424410910815705e-15,0.2422077922077922,0.14533628120093564,0.13187451323322447,0.39625613747954175,0.09811260832085658,0.0002807136597739922,0.0005117085240702909,0.0017074482914742253,5.967398864121988e-13,0.08321284729414956
197,35,entropy,0.3371911808478973,2.2749921011992062e-52,0.29125541125541127,0.4115030920567785,0.26597619795865385,0.42430441898527005,0.2138287736491085,1.2528309712848855e-05,7.717486786616772e-23,2.5007778391173724e-10,1.2487419086445465e-14,0.00015938532407480516
198,36,mccabe,0.22239364738273512,2.7718116616483607e-23,0.317113942351134,0.06979162473667969,0.1420547706261992,0.3237808295964126,0.21029181355268312,2.4611166543895937e-06,0.10172177667276333,0.0007191709223083296,1.0382950034754763e-08,0.00020203893461808
199,36,fanout,0.12853025775330446,1.0821219919487709e-08,0.0002710761724044456,0.12330770572528814,0.06832722832722833,0.2624486173393124,0.15934684684684686,0.9973414629625204,0.003969821269719137,0.10556662998969035,3.839404955597495e-06,0.00565050178724776
200,36,chars,0.16192906467895557,6.045589096421139e-13,0.04522454142947502,0.08457781534704611,0.11270887842316414,0.32401438714499253,0.2088963963963964,0.5057075296780122,0.04827486386939235,0.0076206275522838615,1.2470542627288226e-08,0.0002896781088548547
201,36,identifiers,0.17006849545042474,3.97146453605195e-14,0.10382217403090269,0.0801500087214373,0.1583813012384441,0.21265414798206278,0.21477183705444575,0.12626337112930286,0.0612545789470279,0.00017668390485424927,0.0001863770990620192,0.00019380681371134405
202,36,halstead,0.21791010531735105,3.3778430034190574e-22,0.13757115749525617,0.13759744528975298,0.21389150532007675,0.3607296337817638,0.2712005483744614,0.04277615152637512,0.0013132250285525992,4.102797023062171e-07,2.3225047236484857e-10,2.53314050646656e-06
