,repo,lang,metric,overall_mean,overall_median,comment_mean,comment_median,non_comment_mean,non_comment_median,cliffs_delta,mannwhitneyu_p,n_comment,n_non_comment,n_total
73,elasticsearch,java,fanout,10.41658594506765,5.0,15.656686222941534,9.0,8.07433196183931,4.0,0.27931392395165905,0.0,19772,44234,64006
74,elasticsearch,java,chars,597.4922663500297,347.0,909.1362027109043,602.0,458.1916399149975,285.0,0.361821404605714,0.0,19772,44234,64006
75,elasticsearch,java,identifiers,33.419820016873416,21.0,49.20341897633016,34.0,26.364764660668264,17.0,0.3298649570515094,0.0,19772,44234,64006
76,elasticsearch,java,halstead,183.59410717011966,92.5109929535273,292.72218730948657,171.8953543301665,134.8153306517048,73.08241808752197,0.34468902444049715,0.0,19772,44234,64006
77,elasticsearch,java,entropy,4.273120595690219,4.315798627647583,4.52243838051224,4.591833077159912,4.161678916405032,4.2142654321698725,0.4023141815521377,0.0,19772,44234,64006
78,electron,cpp,mccabe,2.3124662709120347,2.0,3.104678826328311,2.0,1.903885480572597,1.0,0.3319373561736474,4.1726957957079246e-69,1261,2445,3706
79,electron,cpp,fanout,6.209929843497032,4.0,9.806502775574941,7.0,4.355010224948876,3.0,0.44072756876501107,2.3813117821256746e-108,1261,2445,3706
80,electron,cpp,chars,433.4692390717755,272.0,669.4496431403647,470.0,311.76319018404905,215.0,0.4377653337744414,5.362243772177228e-106,1261,2445,3706
81,electron,cpp,identifiers,31.995143011332974,20.0,48.48453608247423,35.0,23.49079754601227,16.0,0.4211822668087294,2.620323295608057e-98,1261,2445,3706
82,electron,cpp,halstead,201.57493041319242,94.0116453487578,346.3433119231379,206.81934759820803,126.91115573669292,63.11663380285988,0.45322714306333306,1.746425599796605e-113,1261,2445,3706
83,electron,cpp,entropy,4.156732821998384,4.245522904462865,4.556693245716723,4.642236541190284,3.9504546648168604,4.03502876130313,0.5127355346569817,1.124214429332814e-144,1261,2445,3706
84,fastapi,py,mccabe,2.1962025316455698,2.0,4.217821782178218,2.0,1.899854862119013,2.0,0.1552831625687968,0.006708614017342011,101,689,790
85,fastapi,py,fanout,3.232911392405063,2.0,9.455445544554456,5.0,2.3207547169811322,1.0,0.510339277759416,1.997413409766264e-17,101,689,790
86,fastapi,py,chars,529.6151898734178,228.0,1711.1881188118812,642.0,356.40928882438317,215.0,0.6812714653177945,1.789600892277454e-28,101,689,790
87,fastapi,py,identifiers,28.082278481012658,13.0,90.29702970297029,38.0,18.962264150943398,11.0,0.6538964491514464,2.1197482920970226e-26,101,689,790
88,fastapi,py,halstead,90.75323612684564,28.07354922057604,352.53965742481626,129.26767504471167,52.3781584039211,18.575424759098897,0.6676342525399129,1.9710877820557508e-27,101,689,790
